*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=b-car_rev1
*Date=14:18:55
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;DIP (Dual Inline) [THT];24.1794;-36.0347;180;Bottom;4116R-R2R-2
2;;;58.4695;-14.4445;0;Bottom;Via3
3;;;3.3782;-29.7435;0;Bottom;Copper Fill111
4;;;7.66936;-44.9247;0;Bottom;Via35
5;47k;THT;12.7494;-16.9847;0;Bottom;R1
6;1.5k;THT;78.7894;-16.9847;90;Bottom;R3
7;;;25.4495;-11.9045;0;Bottom;Via15
8;47k;THT;71.1694;-9.36467;0;Bottom;R1
9;;;19.05;-15.7354;0;Bottom;Copper Fill5
10;;;61.0321;-19.4031;0;Bottom;TXT1
11;;;59.2582;-9.4235;0;Bottom;Copper Fill18
12;;;64.8208;-18.25;0;Bottom;Copper Fill3
13;;;30.5293;-24.6047;0;Bottom;Via24
14;;;45.7708;-13.17;0;Bottom;Copper Fill76
15;;;39.0906;-29.7435;0;Bottom;Copper Fill94
16;;;26.2382;-11.9635;0;Bottom;Copper Fill29
17;;;20.3695;-9.36452;0;Bottom;Via21
18;;;71.755;-39.7511;0;Bottom;Copper Fill87
19;;;50.8494;-11.9047;0;Bottom;Via41
20;;;30.5294;-14.4447;0;Bottom;Via44
21;;;26.2382;-17.0435;0;Bottom;Copper Fill112
22;;;4.94359;-32.0131;0;Bottom;TXT1
23;;;58.4695;-16.9845;0;Bottom;Via2
24;;usb-mb-h;75.3344;-38.1047;180;Bottom;X1
25;;;62.6364;-27.2035;0;Bottom;Copper Fill15
26;;;64.3382;-27.2035;0;Bottom;Copper Fill90
27;;;78.5368;-17.2086;0;Bottom;Copper Fill67
28;;;63.5495;-9.36452;0;Bottom;Via10
29;;;68.6294;-34.7647;0;Bottom;Via39
30;;;4.91739;-26.9848;0;Bottom;TXT1
31;;;14.0208;-46.063;0;Bottom;Copper Fill37
32;;;20.3695;-11.9045;0;Bottom;Via20
33;;;5.12936;-4.28467;0;Bottom;Hole3
34;;;57.5564;-11.9635;0;Bottom;Copper Fill96
35;47k;THT;71.1694;-16.9847;0;Bottom;R1
36;;;23.0233;-11.7128;0;Bottom;TXT1
37;;;52.8408;-19.4925;0;Bottom;IMG1
38;;;7.6073;-28.0544;0;Bottom;Copper Fill105
39;;;8.9408;-25.997;0;Bottom;Copper Fill61
40;;;62.6364;-27.2035;0;Bottom;Copper Fill89
41;;;19.1262;-13.17;0;Bottom;Copper Fill77
42;;dip;11.4794;-36.0347;90;Bottom;ATTiny85
43;;;1.4986;-28.41;0;Bottom;Copper Fill57
44;;;10.0779;-42.5196;90;Bottom;TXT1
45;;dil14;41.9594;-37.3047;90;Bottom;74HC04-1
46;;;45.9232;-30.8484;0;Bottom;Copper Fill55
47;;;30.3784;-13.3224;0;Bottom;Copper Fill81
48;;;64.8208;-15.71;0;Bottom;Copper Fill74
49;;;21.5138;-38.57;0;Bottom;Copper Fill45
50;;DIP (Dual Inline) [THT];59.7394;-36.0347;0;Bottom;4116R-R2R-1
51;;;57.5564;-14.5035;0;Bottom;Copper Fill26
52;;;63.5495;-11.9045;0;Bottom;Via9
53;;;7.62358;-29.4984;90;Bottom;TXT1
54;;;6.7564;-27.2035;0;Bottom;Copper Fill106
55;;;21.5138;-43.65;0;Bottom;Copper Fill39
56;;;21.5138;-30.95;0;Bottom;Copper Fill51
57;;;7.6073;-28.0544;0;Bottom;Copper Fill31
58;;;12.6475;-42.4928;90;Bottom;TXT1
59;;;25.476;-14.398;0;Bottom;Via14
60;;;17.8294;-27.1447;0;Bottom;Via45
61;;;12.5984;-29.68;0;Bottom;Copper Fill54
62;;;24.5364;-9.4235;0;Bottom;Copper Fill24
63;;;64.8208;-10.63;0;Bottom;Copper Fill11
64;;;19.1262;-13.17;0;Bottom;Copper Fill7
65;;;60.9968;-14.3081;0;Bottom;TXT1
66;;;68.6294;-32.2247;0;Bottom;Via40
67;;;57.5564;-17.0435;0;Bottom;Copper Fill103
68;;;57.5564;-17.0435;0;Bottom;Copper Fill30
69;;;9.271;-46.0884;0;Bottom;Copper Fill36
70;;;26.2382;-19.5835;0;Bottom;Copper Fill113
71;;;57.5564;-9.4235;0;Bottom;Copper Fill92
72;;;19.4564;-44.9835;0;Bottom;Copper Fill91
73;;;5.20392;-42.555;90;Bottom;TXT1
74;;;26.2636;-14.4527;0;Bottom;Copper Fill108
75;;;24.5872;-14.4527;0;Bottom;Copper Fill107
76;;;1.4986;-30.95;0;Bottom;Copper Fill1
77;;;64.8208;-18.25;0;Bottom;Copper Fill69
78;47k;THT;12.7494;-19.5247;0;Bottom;R1
79;;;30.5294;-11.9047;0;Bottom;Via43
80;;;45.7708;-10.63;0;Bottom;Copper Fill80
81;;;72.4281;-40.4496;0;Bottom;Copper Fill12
82;;;38.8112;-23.3554;0;Bottom;Copper Fill66
83;;;19.05;-18.2246;0;Bottom;Copper Fill70
84;;dil14;41.9594;-16.9847;90;Bottom;74HC04-2
85;;;21.1582;-44.9835;0;Bottom;Copper Fill16
86;;;38.0873;-8.7504;0;Bottom;Copper Fill95
87;;;7.6073;-39.0526;0;Bottom;Copper Fill27
88;;;19.05;-15.7354;0;Bottom;Copper Fill73
89;;;1.6764;-29.7435;0;Bottom;Copper Fill34
90;;;37.9984;-15.71;0;Bottom;Copper Fill71
91;;;13.6652;-25.87;0;Bottom;Copper Fill63
92;47k;THT;12.7494;-11.9047;0;Bottom;R1
93;;;25.4494;-34.7647;0;Bottom;Via49
94;;;19.05;-18.2246;0;Bottom;Copper Fill4
95;;;2.58936;-32.2247;0;Bottom;Via26
96;;;10.2094;-27.1447;0;Bottom;Via29
97;47k;THT;71.1694;-19.5247;0;Bottom;R1
98;;;45.7708;-15.71;0;Bottom;Copper Fill72
99;;;2.44511;-42.4779;90;Bottom;TXT1
100;;;30.5437;-19.5152;0;Bottom;Via22
101;;;12.7494;-27.1447;0;Bottom;Via31
102;;;53.3893;-19.5248;0;Bottom;Via11
103;;;23.2169;-2.62038;0;Bottom;TXT3
104;;;7.66936;-27.1447;0;Bottom;Via30
105;;;1.4986;-28.41;0;Bottom;Copper Fill2
106;;;1.4986;-30.95;0;Bottom;Copper Fill52
107;;;58.4695;-11.9045;0;Bottom;Via4
108;;;6.4262;-28.5624;0;Bottom;Copper Fill53
109;;;26.2636;-14.4527;0;Bottom;Copper Fill33
110;;;1.6764;-29.7435;0;Bottom;Copper Fill110
111;;;26.2382;-17.0435;0;Bottom;Copper Fill35
112;;;26.2382;-11.9635;0;Bottom;Copper Fill102
113;;;57.5564;-9.4235;0;Bottom;Copper Fill17
114;;;23.0306;-16.838;0;Bottom;TXT1
115;;;73.4568;-39.7511;0;Bottom;Copper Fill88
